player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Dennis Gardeck,66928,ED,ARZ,7,1,0,1,68.2,2,7,95,76.8,11.6,11,1,7.9,3,125,96,12,0,78.0,2,6,55,86.2,18.2,10,12.7,3,65,56,11
Trent McDuffie,72191,CB,KC,9,0,3,16,84.4,3,0,11,3.1,9.1,1,7,13.6,0,360,11,3,0,67.8,1,0,5,3.2,0.0,0,10.0,0,156,5,1
Jonah Laulu,75763,DI,LV,6,0,0,23,49.5,0,3,47,98.1,2.1,1,0,3.2,0,52,51,3,0,49.5,0,1,21,100.0,0.0,0,2.4,0,23,23,1
Chad Muma,75818,LB,JAX,7,0,0,15,51.2,0,0,11,8.2,0.0,0,0,9.1,1,134,11,1,0,53.9,0,0,5,11.6,0.0,0,20.0,1,43,5,1
Andre Cisco,76641,S,JAX,10,0,0,15,53.9,0,0,3,1.0,0.0,0,1,0.0,0,410,4,0,0,,0,0,0,0.0,,0,,0,173,0,0
Juanyeh Thomas,76655,S,DAL,6,0,0,9,56.3,0,0,2,18.2,0.0,0,0,0.0,0,11,2,0,0,56.3,0,0,2,28.6,0.0,0,0.0,0,7,2,0
Chamarri Conner,76662,S,KC,9,0,0,16,65.3,1,1,18,7.6,5.6,1,1,11.1,1,251,19,3,0,73.8,0,1,7,7.0,14.3,1,21.4,1,115,8,2
DeMarvion Overshown,76729,LB,DAL,9,0,0,9,67.8,1,6,38,15.0,13.2,5,0,19.7,4,253,38,11,0,61.9,1,3,17,15.9,5.9,1,23.5,2,107,17,6
Xavier Thomas,76807,ED,ARZ,7,0,0,1,54.0,0,2,71,83.9,5.6,4,0,5.6,3,87,73,5,0,57.9,0,2,41,85.7,7.3,3,9.8,3,49,42,5
KJ Henry,76808,ED,DAL,4,0,0,9,65.5,0,1,26,96.6,3.8,1,0,5.8,1,29,28,2,0,70.5,0,1,10,90.9,10.0,1,15.0,1,11,10,2
Tyler Lacy,76836,DI,JAX,8,0,1,15,53.0,1,5,96,100.0,4.2,4,1,3.1,0,103,103,6,0,58.1,1,3,35,100.0,5.7,2,5.7,0,37,37,4
Ochaun Mathis,76838,ED,NE,2,0,0,19,52.6,0,0,6,87.5,0.0,0,0,0.0,0,8,7,0,0,54.8,0,0,4,100.0,0.0,0,0.0,0,4,4,0
Will McDonald IV,76842,ED,NYJ,10,1,0,22,72.3,6,24,217,97.2,12.4,27,2,10.6,8,246,239,38,1,69.6,2,17,123,98.6,14.6,18,11.0,4,138,136,23
Desjuan Johnson,76850,DI,LA,3,0,0,26,57.9,0,0,12,100.0,8.3,1,0,0.0,0,12,12,0,0,54.2,0,0,5,100.0,0.0,0,0.0,0,5,5,0
Jalen Redmond,76861,DI,MIN,5,0,0,18,63.2,0,1,30,100.0,6.7,2,0,5.0,1,32,32,2,0,73.2,0,1,8,100.0,12.5,1,18.8,1,9,9,2
Nesta Jade Silvera,76888,DI,LV,6,0,0,23,55.7,0,0,29,100.0,3.4,1,0,0.0,0,29,29,0,0,54.8,0,0,5,100.0,0.0,0,0.0,0,5,5,0
Greg Rousseau,76889,ED,BUF,10,2,0,4,87.9,12,23,275,95.0,18.5,51,1,8.5,6,300,285,41,1,90.3,9,15,121,96.2,24.0,29,14.0,5,132,127,29
Travis Jones,76914,DI,BLT,9,0,0,3,68.6,3,14,221,99.2,10.9,24,0,4.3,1,242,240,18,0,73.3,3,12,122,100.0,15.6,19,7.0,1,136,136,16
Logan Hall,76919,DI,TB,9,1,0,30,60.0,4,6,192,97.6,7.3,14,0,4.2,3,207,202,13,0,62.1,1,2,95,98.0,8.4,8,4.7,3,102,100,6
Moro Ojomo,76927,DI,PHI,9,0,1,24,71.3,1,13,133,100.0,15.0,20,4,5.3,0,138,138,14,0,74.4,1,10,71,100.0,19.7,14,7.7,0,76,76,11
Keondre Coburn,76928,DI,TEN,7,0,0,31,53.3,0,1,28,100.0,3.6,1,1,1.8,0,29,29,1,0,55.9,0,0,4,100.0,0.0,0,0.0,0,4,4,0
Dante Stills,76937,DI,ARZ,9,1,0,1,51.7,2,7,172,100.0,4.7,8,1,4.9,4,181,181,13,1,49.3,1,6,72,100.0,6.9,5,7.6,2,76,76,9
Karl Brooks,76941,DI,GB,9,0,0,12,59.8,2,8,146,98.0,8.9,13,0,4.8,2,153,150,12,0,60.6,2,5,76,98.7,10.5,8,7.2,2,79,78,9
Braden Fiske,76958,DI,LA,9,0,1,26,63.9,1,23,196,99.1,8.7,17,3,7.7,3,214,212,27,0,70.6,1,19,107,100.0,12.1,13,12.1,3,121,121,23
